id,target
1,316246.79344489926
2,127878.75924660086
3,178435.5438720931
4,256946.01352331587
5,134188.9321885605
6,157078.36475948864
7,191298.07244936688
8,121471.61793331392
9,133765.79426732793
10,317491.2285703225
11,215451.8380137299
12,125343.52003060063
13,157563.80820506762
14,136196.6204628115
15,106963.12183077923
16,135020.87097414955
17,121173.44081172065
18,198516.69716551318
19,202103.08678256362
20,132526.81342699178
21,140778.9828722759
22,126780.53392457691
23,176943.92325283718
24,273933.80989187676
25,187176.60799114543
26,342669.96707959357
27,153590.50806312155
28,238538.9637350706
29,143586.96238976554
30,95293.2847699592
31,120840.00311075096
32,130778.22257026548
33,191962.82334220893
34,165756.2942357015
35,397348.36883164826
36,127106.77668799387
37,164692.63879909008
38,225148.42602844274
39,193038.32572804025
40,379410.1919667802
41,254908.59514309175
42,112259.3632177778
43,94879.74438924843
44,144237.2656038094
45,210255.57298529576
46,157251.37879332964
47,212300.0955627033
48,105547.34676373463
49,178869.96399743378
50,128764.92023692443
51,167909.14563143908
52,246206.1999529
53,172754.53034583598
54,203892.061423042
55,226242.71250381763
56,123108.45360292944
57,322322.3066274845
58,123733.49510787163
59,113184.58969728817
60,138878.7645402433
61,146788.98975779285
62,250239.25156551437
63,109335.80268783345
64,235050.5965562186
65,239123.45390635869
66,131292.77407747766
67,178819.52146182855
68,210424.8857096752
69,290816.6252232301
70,130311.16176726346
71,122104.44273909979
72,263903.8321999828
73,141103.61847781786
74,140058.40254487834
75,210920.85026784329
76,123434.9388014501
77,81437.25918802885
78,144899.44029671457
79,159304.31923130373
80,142228.66646301534
81,105043.79694560343
82,204474.8392267188
83,192264.37216551532
84,230810.87530808296
85,135106.39278623456
86,95651.45138477624
87,94957.47097082093
88,149649.33399775214
89,129714.29688847993
90,164576.6471849118
91,106854.25316797102
92,174136.13938592738
93,165643.95406667877
94,124985.81962232175
95,186639.0726650078
96,381210.72593635437
97,179473.9752887381
98,152151.13438697142
99,228343.08408529754
100,213117.54897483112
101,240178.4890756404
102,192921.6174005675
103,131909.16862631924
104,191202.12785071981
105,322348.2122442343
106,228032.59391344833
107,98429.54402222642
108,134088.81117753714
109,175901.21567959114
110,344262.4662840341
111,126079.09775018474
112,206117.90822588466
113,159379.35116728386
114,129910.53389182207
115,132241.78656125593
116,124881.05046167076
117,206423.92788482815
118,339631.314808832
119,199174.99999690894
120,197230.646756572
121,346866.92343937873
122,177007.01322078946
123,102068.5969146906
124,129778.1738912366
125,280955.128605464
126,273154.08148284885
127,280928.9597836474
128,218495.4273141114
129,292721.3570029721
130,134150.02629864894
131,242164.5696303263
132,161517.01104092554
133,282445.72636844305
134,304277.30468461075
135,198209.98042493174
136,196013.505049974
137,218757.81199814385
138,157479.61178726124
139,302078.26231461787
140,145853.66789847886
141,186725.0633636511
142,138333.23029828607
143,122656.08350574423
144,181195.31648148794
145,129052.18321298764
146,202277.20034575093
147,199424.57582301297
148,84817.85676135155
149,369131.14997880463
150,210065.43187568654
151,121843.33831833229
152,129044.9206844208
153,127452.06312312634
154,188323.3776965045
155,235237.52017840586
156,194587.6398475953
157,148314.5233819293
158,361273.4409322863
159,172686.51036997858
160,172105.33361712238
161,200289.91829177694
162,166615.8710843036
163,127086.77568506778
164,246727.21630690742
165,144889.00287053548
166,146779.59394875317
167,192959.78697783366
168,265612.57914236624
169,358005.6113619077
170,146614.37529466892
171,384559.39817395806
172,246885.59950591985
173,279420.65028340154
174,110366.76109726797
175,163755.48791456936
176,142618.98144714793
177,71430.33964164573
178,254318.6315622594
179,125931.56560770478
180,80277.39463344046
181,133791.4702148076
182,111403.04362976352
183,170610.8663671408
184,188264.43350966528
185,176856.16809806632
186,177664.55791469777
187,246066.64814587482
188,265536.4206809745
189,129538.7417162109
190,201965.832552939
191,332808.6277383291
192,124811.66377408538
193,195503.60475789924
194,146132.665075101
195,155494.67778783324
196,376434.4155653928
197,314400.93791646254
198,133112.39515255418
199,132458.6268293534
200,195560.9130780516
201,108295.44376350047
202,243144.03463548096
203,182571.03472999705
204,107358.66994391292
205,187369.38752270918
206,188141.96770437073
207,162858.68248141426
208,234700.47122094798
209,214343.76310867656
210,271338.70732617023
211,318458.5871928688
212,154838.28848826844
213,175151.60843501112
214,310302.3714595229
215,142508.65189708804
216,98835.50638253306
217,187276.0935629525
218,182746.65477482707
219,141374.00826856488
220,314060.0421398189
221,229943.70640598985
222,175845.8311255854
223,361394.43697136216
224,181135.77984535982
225,172931.7696769105
226,143685.58305234503
227,123217.63841064562
228,190642.85576020082
229,250271.36182561205
230,123901.0540998641
231,230069.71176438287
232,139282.94097570493
233,167180.33112450904
234,377610.89918522956
235,260856.536162988
236,97566.39333649741
237,243592.92453216927
238,142283.07248158893
239,140791.22120627807
240,217201.93689140625
241,103385.99313989223
242,232205.98107345612
243,101595.27258439608
244,141372.6039894821
245,132957.6300429997
246,268456.55697167147
247,144393.22636658823
248,125028.5018733469
249,206094.46243953545
250,139325.8969524423
251,289438.21243736456
252,195091.3281102148
253,120625.01220529476
254,138887.29243264627
255,396000.8473832108
256,160439.57707626862
257,126201.18970751893
258,125174.10817721815
259,347064.49010185624
260,205068.7845824075
261,145942.66992180442
262,229058.02036955184
263,163486.10121793323
264,259441.84525652477
265,153873.39921955118
266,129653.72645796085
267,255762.454324678
268,150034.7780810339
269,121355.441827325
270,241218.97440588658
271,356809.3381366682
272,149139.10068129137
273,195253.77288341572
274,85796.26524211736
275,148424.9794324927
276,192498.51428506745
277,151012.42084689107
278,109329.97683242396
279,175906.9230960359
280,186605.30678738194
281,399264.2301272877
282,289565.6365114783
283,136675.78598942453
284,169648.94821895513
285,136366.10217565086
286,151427.03219976227
287,229329.98856232807
288,147315.58619460365
289,138816.2881285205
290,199423.88609452322
291,123217.20019314022
292,261743.7832663291
293,271682.02870456147
294,167336.31769976325
295,194790.81184809902
296,72557.69689513971
297,131211.2021015741
298,163290.30647394492
299,120374.75456619656
300,122420.03501566403
301,93033.1073372695
302,125069.32497164546
303,183158.61417162276
304,263161.464017689
305,148208.19255616606
306,178420.01022609006
307,162085.16101660626
